log_q,log_p,log_y,cl5_secondcity_d,cl5_smtown_d,cl5_suburban_d,cl5_urban_d,distance_oil1000,log_driver,log_hhr_age,log_hhsize,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,publictransit_d,share,state_fips,total_wrkr,region
6.88436555862427,0.300046414136887,10.2219409942627,0,1,0,0,2.14094996452332,1.0986123085022,3.71357202529907,1.3862943649292,1,0,0,0,0,0,0,0,0.0479532107710838,4,2,7.0
6.9339861869812,0.300200074911118,11.1913414001465,0,1,0,0,2.14094996452332,1.0986123085022,3.76120018959045,1.7917594909668,0,0,1,0,0,0,0,0,0.0191174130886793,4,3,7.0
6.44149875640869,0.299874991178513,11.6952466964722,0,0,0,1,2.14094996452332,0.6931471824646,3.61091780662537,1.0986123085022,0,0,0,1,0,0,0,0,0.0070560257881879,4,2,7.0
7.00756025314331,0.300043046474457,11.0429220199585,0,0,1,0,2.14094996452332,1.3862943649292,3.49650764465332,1.60943794250488,0,0,0,1,0,0,0,0,0.0238655656576157,4,3,7.0
6.70512533187866,0.300360113382339,11.1198825836182,0,0,0,1,2.14094996452332,0.6931471824646,3.68887948989868,1.3862943649292,0,0,0,1,0,0,0,0,0.0163357798010111,4,2,7.0
7.6456151008606,0.300307959318161,11.1913414001465,0,0,1,0,2.14094996452332,1.0986123085022,3.76120018959045,1.60943794250488,0,0,0,1,0,0,0,0,0.038952250033617,4,2,7.0
7.0152153968811,0.300311028957367,11.1913414001465,0,0,1,0,2.14094996452332,0.6931471824646,3.85014748573303,1.0986123085022,0,0,0,0,1,0,0,0,0.0207374189049006,4,2,7.0
7.12650632858276,0.300941288471222,11.6952466964722,0,0,1,0,2.14094996452332,0.6931471824646,3.58351898193359,1.60943794250488,0,0,0,0,1,0,0,0,0.0140125835314393,4,1,7.0
7.08801603317261,0.299927532672882,11.6952466964722,0,0,1,0,2.14094996452332,0.6931471824646,3.82864141464233,1.3862943649292,0,0,0,0,1,0,0,0,0.013469822704792,4,2,7.0
6.9565749168396,0.300376981496811,10.3889951705933,0,0,0,1,2.14094996452332,0.6931471824646,3.78418970108032,1.3862943649292,0,0,1,0,0,0,0,0,0.0436285436153412,4,2,7.0
6.60233879089355,0.300110340118408,10.7684850692749,0,0,0,1,2.14094996452332,1.0986123085022,3.7376697063446,1.3862943649292,0,0,0,0,1,0,0,0,0.020941223949194,4,1,7.0
7.87707471847534,0.300373375415802,11.4075651168823,0,0,1,0,2.14094996452332,0.6931471824646,4.09434461593628,1.0986123085022,0,0,0,1,0,0,0,0,0.0395528711378574,4,2,7.0
6.9615592956543,0.300403028726578,10.0212707519531,0,1,0,0,2.14094996452332,0.0,3.7376697063446,1.60943794250488,0,0,1,0,0,0,0,0,0.0633355602622032,4,4,7.0
5.53407096862793,0.300079971551895,10.3889951705933,0,0,1,0,2.14094996452332,0.6931471824646,3.21887588500977,1.3862943649292,0,0,0,0,1,0,0,0,0.0105161378160119,4,2,7.0
7.32885217666626,0.300482034683228,7.82404613494873,0,0,1,0,2.14094996452332,0.6931471824646,3.40119743347168,1.60943794250488,0,0,0,0,1,0,0,0,0.823071777820587,4,1,7.0
7.29011583328247,0.300314038991928,11.1198825836182,0,1,0,0,2.14094996452332,0.6931471824646,3.465735912323,1.60943794250488,0,0,0,0,1,0,0,0,0.0293209552764893,4,2,7.0
7.49775981903076,0.30031606554985,11.4075651168823,0,1,0,0,2.14094996452332,0.6931471824646,3.82864141464233,1.3862943649292,0,0,1,0,0,0,0,0,0.0270656701177359,4,2,7.0
6.57732629776001,0.300067961215973,10.0212707519531,1,0,0,0,2.14094996452332,1.3862943649292,3.78418970108032,1.60943794250488,0,0,0,1,0,0,0,0,0.0431153401732445,4,2,7.0
7.10736465454102,0.300384491682053,11.4075651168823,0,0,1,0,2.14094996452332,0.6931471824646,3.43398714065552,1.60943794250488,1,0,0,0,0,0,0,0,0.0183190144598484,4,2,7.0
